slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,int8_acc_pct,int8_size_kb,quant,train_date_utc,updated_utc,_source
f56_b4,56,4,ss depth=4,True,19500,94.10207029369283,191.1826171875,93.9817043813192,37.15625,93.9817043813192,37.8046875,,,,2026-05-17T10:43:00+00:00,2026-05-17T10:46:51.950858+00:00,"orig,p1"
f56_b5,56,5,ss depth=5,True,23588,93.7650457390467,227.4609375,93.69282619162252,44.75,94.19836302359172,45.5859375,,,,2026-05-17T10:51:41+00:00,2026-05-17T10:55:48.593218+00:00,"orig,p1"
f56_b6,56,6,ss depth=6,True,27676,94.02985074626866,264.4267578125,93.8613384689456,52.34375,94.36687530091476,53.3671875,,,,2026-05-17T11:00:27+00:00,2026-05-17T11:04:59.862320+00:00,"orig,p1"
f56_b7,56,7,patch f56 b7,True,31764,94.63168030813674,301.666015625,94.24650938854116,59.9375,,,,,,2026-05-18T20:04:00+00:00,2026-05-18T20:04:18.362191+00:00,p2
f56_b8,56,8,patch f56 b8,True,35852,94.2705825710159,338.2646484375,94.15021665864228,67.53125,,,,,,2026-05-18T20:03:58+00:00,2026-05-18T20:04:18.756204+00:00,p4
f64_b2,64,2,patch f64 b2,True,13964,93.69282619162252,127.6181640625,93.40394800192584,25.484375,,,,,,2026-05-18T19:58:28+00:00,2026-05-18T19:58:42.706174+00:00,p1
f64_b3,64,3,s depth=3,True,19148,93.52431391429948,169.177734375,93.59653346172364,34.5234375,93.9817043813192,34.984375,,,,2026-05-17T09:50:53+00:00,2026-05-17T09:53:50.555534+00:00,"orig,p3"
f64_b4,64,4,s depth=4,True,24332,93.47616754935002,210.0576171875,93.21136254212809,43.5625,93.9817043813192,44.2109375,,,,2026-05-17T09:57:46+00:00,2026-05-17T10:04:15.420654+00:00,"orig,p3"
f64_b5,64,5,s depth=5,True,29516,95.08907077515649,250.6171875,94.8001925854598,52.6015625,94.7038998555609,53.4375,,,,2026-05-17T10:11:49+00:00,2026-05-17T10:18:17.204889+00:00,"orig,p3"
f64_b6,64,6,"small, aligned",True,34700,94.9205584978334,291.8642578125,94.89648531535867,61.640625,94.46316803081368,62.8828125,94.46316803081368,62.8828125,qat,2026-05-17T12:29:10+00:00,2026-05-17T12:29:29.436959+00:00,"orig,p1,p3,p4"
f64_b7,64,7,s deep,True,39884,95.35387578237842,333.384765625,95.1131439576312,70.6796875,95.0168512277323,71.890625,,,,2026-05-17T09:53:35+00:00,2026-05-17T09:57:31.473181+00:00,"orig,p4"
f64_b8,64,8,s very deep,True,45068,95.35387578237842,374.2646484375,95.04092441020704,79.71875,95.35387578237842,81.1171875,,,,2026-05-17T10:01:34+00:00,2026-05-17T10:05:50.204525+00:00,"orig,p4"
f72_b2,72,2,patch f72 b2,True,16860,93.11506981222918,138.9306640625,92.7298988926336,29.25,,,,,,2026-05-18T19:59:15+00:00,2026-05-18T19:59:29.479087+00:00,p3
f72_b3,72,3,patch f72 b3,True,23268,94.67982667308618,185.271484375,94.55946076071255,39.859375,,,,,,2026-05-18T20:02:29+00:00,2026-05-18T20:02:44.347470+00:00,p1
f72_b4,72,4,ss-mid depth=4,True,29676,94.8001925854598,230.9326171875,94.67982667308618,50.46875,94.89648531535867,51.1171875,,,,2026-05-17T11:09:05+00:00,2026-05-17T11:13:00.225768+00:00,"orig,p1"
f72_b5,72,5,ss-mid depth=5,True,36084,94.77611940298507,276.2734375,94.72797303803564,61.078125,94.94463168030812,61.9140625,,,,2026-05-17T11:17:22+00:00,2026-05-17T11:21:29.116566+00:00,"orig,p1"
f72_b6,72,6,ss-mid depth=6,True,42492,95.06499759268176,322.3017578125,94.67982667308618,71.6875,95.1131439576312,72.7109375,,,,2026-05-17T11:26:07+00:00,2026-05-17T11:30:36.773586+00:00,"orig,p1"
f72_b7,72,7,patch f72 b7,True,48900,95.13721714010592,368.603515625,95.16129032258064,82.296875,,,,,,2026-05-18T20:07:06+00:00,2026-05-18T20:07:26.520394+00:00,p1
